proba_mora,aprobacion
0.08254716981132075,1
0.08254716981132075,1
0.5805626598465473,1
0.5805626598465473,1
0.08254716981132075,1
0.3663624511082138,1
0.5416666666666666,1
0.7241379310344828,0
0.5805626598465473,1
0.3663624511082138,1
0.3663624511082138,1
0.07563025210084033,1
0.3663624511082138,1
0.3663624511082138,1
0.08254716981132075,1
0.7241379310344828,0
0.8394698085419735,0
0.6917098445595855,0
0.5805626598465473,1
0.3663624511082138,1
0.24358974358974358,1
0.3663624511082138,1
0.3663624511082138,1
0.08254716981132075,1
0.8394698085419735,0
0.3663624511082138,1
0.8394698085419735,0
0.08254716981132075,1
0.3663624511082138,1
0.8394698085419735,0
0.24358974358974358,1
0.3663624511082138,1
0.5805626598465473,1
0.08254716981132075,1
0.3663624511082138,1
0.8394698085419735,0
0.08254716981132075,1
0.5416666666666666,1
0.08254716981132075,1
0.5805626598465473,1
0.24358974358974358,1
0.8394698085419735,0
0.7241379310344828,0
0.6917098445595855,0
0.3663624511082138,1
0.6917098445595855,0
0.07563025210084033,1
0.7241379310344828,0
0.3663624511082138,1
0.3663624511082138,1
0.08254716981132075,1
0.08254716981132075,1
0.5805626598465473,1
0.24358974358974358,1
0.5805626598465473,1
0.24358974358974358,1
0.24358974358974358,1
0.6917098445595855,0
0.24358974358974358,1
0.6917098445595855,0
0.08254716981132075,1
0.24358974358974358,1
0.5416666666666666,1
0.8394698085419735,0
0.07563025210084033,1
0.08254716981132075,1
0.08254716981132075,1
0.24358974358974358,1
0.5805626598465473,1
0.08254716981132075,1
0.08254716981132075,1
0.3663624511082138,1
0.24358974358974358,1
0.3663624511082138,1
0.08254716981132075,1
0.3663624511082138,1
0.07563025210084033,1
0.3663624511082138,1
0.37719298245614036,1
0.08254716981132075,1
0.3663624511082138,1
0.24358974358974358,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.08254716981132075,1
0.3663624511082138,1
0.3663624511082138,1
0.6917098445595855,0
0.5805626598465473,1
0.5805626598465473,1
0.5805626598465473,1
0.24358974358974358,1
0.5805626598465473,1
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.08254716981132075,1
0.5805626598465473,1
0.5805626598465473,1
0.07563025210084033,1
0.8394698085419735,0
0.3663624511082138,1
0.8394698085419735,0
0.3663624511082138,1
0.24358974358974358,1
0.8394698085419735,0
0.3663624511082138,1
0.24358974358974358,1
0.3663624511082138,1
0.7241379310344828,0
0.5805626598465473,1
0.08254716981132075,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.07563025210084033,1
0.6917098445595855,0
0.7241379310344828,0
0.24358974358974358,1
0.3663624511082138,1
0.6917098445595855,0
0.24358974358974358,1
0.24358974358974358,1
0.5416666666666666,1
0.24358974358974358,1
0.08254716981132075,1
0.24358974358974358,1
0.08254716981132075,1
0.24358974358974358,1
0.8394698085419735,0
0.24358974358974358,1
0.24358974358974358,1
0.5416666666666666,1
0.08254716981132075,1
0.5416666666666666,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.24358974358974358,1
0.08254716981132075,1
0.3663624511082138,1
0.5416666666666666,1
0.5805626598465473,1
0.5805626598465473,1
0.5805626598465473,1
0.08254716981132075,1
0.37719298245614036,1
0.24358974358974358,1
0.08254716981132075,1
0.3663624511082138,1
0.08254716981132075,1
0.08254716981132075,1
0.24358974358974358,1
0.24358974358974358,1
0.3663624511082138,1
0.08254716981132075,1
0.24358974358974358,1
0.7241379310344828,0
0.8394698085419735,0
0.24358974358974358,1
0.5805626598465473,1
0.24358974358974358,1
0.37719298245614036,1
0.8394698085419735,0
0.08254716981132075,1
0.3663624511082138,1
0.08254716981132075,1
0.6917098445595855,0
0.08254716981132075,1
0.08254716981132075,1
0.24358974358974358,1
0.5805626598465473,1
0.8394698085419735,0
0.24358974358974358,1
0.24358974358974358,1
0.24358974358974358,1
0.07563025210084033,1
0.5805626598465473,1
0.6917098445595855,0
0.3663624511082138,1
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.8394698085419735,0
0.08254716981132075,1
0.3663624511082138,1
0.5416666666666666,1
0.5805626598465473,1
0.7241379310344828,0
0.08254716981132075,1
0.5805626598465473,1
0.5805626598465473,1
0.24358974358974358,1
0.5805626598465473,1
0.24358974358974358,1
0.08254716981132075,1
0.3663624511082138,1
0.6917098445595855,0
0.08254716981132075,1
0.8394698085419735,0
0.08254716981132075,1
0.24358974358974358,1
0.6917098445595855,0
0.3663624511082138,1
0.7241379310344828,0
0.24358974358974358,1
0.5805626598465473,1
0.37719298245614036,1
0.3663624511082138,1
0.5805626598465473,1
0.8394698085419735,0
0.08254716981132075,1
0.5416666666666666,1
0.5805626598465473,1
0.3663624511082138,1
0.08254716981132075,1
0.6917098445595855,0
0.24358974358974358,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.5416666666666666,1
0.08254716981132075,1
0.5805626598465473,1
0.3663624511082138,1
0.08254716981132075,1
0.24358974358974358,1
0.7241379310344828,0
0.5805626598465473,1
0.08254716981132075,1
0.24358974358974358,1
0.5805626598465473,1
0.8394698085419735,0
0.3663624511082138,1
0.8394698085419735,0
0.8394698085419735,0
0.3663624511082138,1
0.5805626598465473,1
0.08254716981132075,1
0.24358974358974358,1
0.3663624511082138,1
0.08254716981132075,1
0.07563025210084033,1
0.3663624511082138,1
0.5805626598465473,1
0.08254716981132075,1
0.5416666666666666,1
0.24358974358974358,1
0.6917098445595855,0
0.24358974358974358,1
0.24358974358974358,1
0.08254716981132075,1
0.24358974358974358,1
0.07563025210084033,1
0.08254716981132075,1
0.5416666666666666,1
0.5805626598465473,1
0.08254716981132075,1
0.5805626598465473,1
0.3663624511082138,1
0.5805626598465473,1
0.8394698085419735,0
0.08254716981132075,1
0.3663624511082138,1
0.24358974358974358,1
0.08254716981132075,1
0.3663624511082138,1
0.24358974358974358,1
0.08254716981132075,1
0.5416666666666666,1
0.3663624511082138,1
0.3663624511082138,1
0.3663624511082138,1
0.07563025210084033,1
0.24358974358974358,1
0.24358974358974358,1
0.6917098445595855,0
0.3663624511082138,1
0.6917098445595855,0
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.07563025210084033,1
0.3663624511082138,1
0.24358974358974358,1
0.07563025210084033,1
0.3663624511082138,1
0.08254716981132075,1
0.5416666666666666,1
0.3663624511082138,1
0.37719298245614036,1
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.3663624511082138,1
0.3663624511082138,1
0.6917098445595855,0
0.5805626598465473,1
0.08254716981132075,1
0.8394698085419735,0
0.8394698085419735,0
0.3663624511082138,1
0.5805626598465473,1
0.8394698085419735,0
0.8394698085419735,0
0.24358974358974358,1
0.3663624511082138,1
0.08254716981132075,1
0.3663624511082138,1
0.3663624511082138,1
0.24358974358974358,1
0.5416666666666666,1
0.3663624511082138,1
0.5805626598465473,1
0.07563025210084033,1
0.5805626598465473,1
0.3663624511082138,1
0.24358974358974358,1
0.5805626598465473,1
0.6917098445595855,0
0.8394698085419735,0
0.6917098445595855,0
0.8394698085419735,0
0.7241379310344828,0
0.07563025210084033,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.08254716981132075,1
0.5805626598465473,1
0.5416666666666666,1
0.24358974358974358,1
0.24358974358974358,1
0.3663624511082138,1
0.5416666666666666,1
0.08254716981132075,1
0.3663624511082138,1
0.5805626598465473,1
0.3663624511082138,1
0.5805626598465473,1
0.5416666666666666,1
0.5805626598465473,1
0.24358974358974358,1
0.3663624511082138,1
