ID,CLIENTE_MORA,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL
303651,0,F,40,1.839242905,753,0,0.0,0.0,0,-1,3.46025641,0.0,0.115384615,0.115384615
15191,0,F,58,3.207393074,904,0,11.58,56.393542,0,8,98.56372692,0.0,0.0,0.0
532961,0,F,52,3.300951211,899,0,1.0,0.0,0,5,13.18343077,3.622594872,0.0,0.0
199191,0,M,53,1.374754272,469,0,4.08,4.209015,0,50,0.0,27.66437308,1.423076923,0.0
189781,1,M,36,1.512339767,689,0,2.33,31.426728,-1,3,82.99793462,85.09066923,0.512820513,0.0
540331,0,F,74,7.085102682,957,0,21.42,10.004116,0,26,1.885369231,6.985379487,0.0,0.0
160121,0,F,49,2.664755879,835,0,16.58,20.24488,0,5,63.29881282,12.87651026,0.0,0.0
144681,0,F,33,2.871684464,788,0,5.33,37.144781,0,56,95.4963641,73.99542179,0.0,0.0
152571,0,F,40,2.346658213,725,0,3.0,53.305023,-1,36,14.47963077,60.71267949,0.128205128,0.0
120641,0,F,49,1.50463498,860,0,0.0,0.0,0,-1,44.58389103,0.0,0.0,0.0
434301,1,F,31,2.337852741,380,0,2.58,32.12126,0,31,91.7298641,103.4853885,0.461538462,0.461538462
391301,0,F,33,1.917391467,639,0,0.0,0.0,0,-1,48.69615385,0.0,0.0,0.0
196701,0,F,26,2.019755075,661,0,1.17,1.090777,0,-1,0.0,34.06782949,0.243589744,0.0
81981,0,F,37,4.058221779,918,0,2.67,2.518364,0,15,58.20994872,20.59346538,0.0,0.0
272021,0,M,36,2.777025643,680,0,0.58,57.928997,-1,2,0.0,7.762815385,0.0,0.0
539591,0,F,35,1.469413093,716,0,0.0,0.0,0,-1,36.14046154,0.0,0.0,0.0
122051,1,F,35,1.512339767,580,0,0.0,0.0,0,-1,0.0,0.0,0.282051282,0.282051282
327191,0,F,27,5.348223386,966,0,4.17,92.935149,-1,-1,61.59589615,2.018405128,0.0,0.0
108751,0,F,23,2.183756986,840,0,2.25,68.033275,-1,4,18.77116795,28.10810128,0.0,0.0
253131,0,M,45,2.664755879,776,0,1.92,7.570504,0,16,0.168269231,25.24902436,0.0,0.0
94171,0,F,33,1.701657409,597,0,5.5,4.623973,0,25,8.767480769,91.13096923,0.0,0.0
